5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 2 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"ValueofDeviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
521,Q2 2022/23,New,2022/08/08,Rand Water,"Urgent need to repair and restore the availability of
the infrastructure",Coastech Projects,"R2 659 918,03",Emergency Source,Noting,2022/06/30,Not Stated,Not Stated,Reported
522,Q2 2022/23,New,2022/08/08,Rand Water,Pipeline is leaking,Cornet and Kinsbergen (Pty) Ltd,"R8 828 808,29",Emergency Source,Noting,2022/06/30,Not Stated,Not Stated,Reported
523,Q2 2022/23,New,2022/09/06,Rand Water,"Removal and containment of contaminated diesel.
Supply of 50 ppm diesel to Waterval and Central
Depot sites.",Ocean Petroleum and Chemicals Pty Ltd,"R1 052 220,00",Emergency,Noting,2022/08/08,2022/08/08,N/A,Reported
524,Q2 2022/23,New,2022/06/17,Small Enterprise Development Agency (SEDA),"Staff Training: General Councel Chief Legal Officer
Programme",Leadmail t/a Leam Tech,"R15 990,00",Service provider is the sole provider offering the course in South Africa.,Within AA/AO mandate Noting,2022/06/03,2022/06/06,2022/06/06,Reported
525,Q2 2022/23,New,2022/06/17,Small Enterprise Development Agency (SEDA),Gala Dinner 19 May 2022,Black Business Council,"R34 500,00",Service Provider the sole organiser of the summit.,Within AA/AO mandate Noting,2022/05/19,2022/05/19,2022/05/19,Reported
526,Q2 2022/23,New,2022/07/04,Small Enterprise Development Agency (SEDA),"Exhibition Space: House and Garden Show 24 June
to 3 July 2022",H & G Exhibition Partnership,"R18 871,50","supplier status- House and Garden Exhibition Partnership is the only service provider authorised by Ethekwini
Municipality to orgnaise the stands for the event.",Within AA/AO mandate Noting,2022/06/20,2022/06/24,2022/07/03,Reported
527,Q2 2022/23,New,2022/09/06,South African Maritime Safety Authority (SAMSA),Office Rental,Richards Bay,"R2 810 241,21",New Lease,Noting,2022/09/05,2022/08/01,2025/07/31,Reported
528,Q2 2022/23,New,2022/09/06,South African Maritime Safety Authority (SAMSA),Seawb Licence Renewal,HIS Markit,"R1 201 435,20",Sole Supplier,Noting,2022/09/05,2022/06/25,2022/06/24,Reported
529,Q2 2022/23,New,2022/08/23,South African Medical Research Council (SAMRC),"MGI Sequencing kits, reagents and equipment",NextGen Molecular Suppliers,"R30 000 000,00",Sole Supplier,Noting,2022/06/24,2022/08/16,2024/03/24,Reported
530,Q2 2022/23,New,2022/07/05,South African National Biodiversity Institute (SANBI),Replace gate motor,Sozibiya,"R17 500,00",Emergency,Within AA/AO mandate Noting,2022/06/29,N/A,N/A,Reported
531,Q2 2022/23,New,2022/07/05,South African National Biodiversity Institute (SANBI),Fixing bugs,Media Centre,"R5 986,00",Emergency,Within AA/AO mandate Noting,2022/06/29,N/A,N/A,Reported
532,Q2 2022/23,New,2022/07/05,South African National Biodiversity Institute (SANBI),Ublocking urinal basin,Rallele Mabjala,"R57 115,50",Emergency,Within AA/AO mandate Noting,2022/06/23,N/A,N/A,Reported
533,Q2 2022/23,New,2022/07/05,South African National Biodiversity Institute (SANBI),Light repairs,Tondlght Holding,"R36 310,07",Emergency,Within AA/AO mandate Noting,2022/06/23,N/A,N/A,Reported
534,Q2 2022/23,New,2022/07/09,South African National Biodiversity Institute (SANBI),Animal medication,ANB Vet,"R7 023,00",Emergency,Within AA/AO mandate Noting,2022/06/20,N/A,N/A,Reported
535,Q2 2022/23,New,2022/07/05,South African National Biodiversity Institute (SANBI),Annual subscription,Sabinet,"R138 388,19",Sole,Within AA/AO mandate Noting,2022/06/13,N/A,N/A,Reported
536,Q2 2022/23,New,2022/07/05,South African National Biodiversity Institute (SANBI),Annual licence renewal,Tat- I- Chain Technologies,"R320 211,75",Sole,Within AA/AO mandate Noting,2022/06/13,N/A,N/A,Reported
537,Q2 2022/23,New,2022/08/16,South African National Biodiversity Institute (SANBI),Licence Renewal,Separation Scientific,"R19 868,55",Sole,Within AA/AO mandate Noting,2022/08/12,N/A,N/A,Reported
538,Q2 2022/23,New,2022/09/07,South African National Biodiversity Institute (SANBI),Comrades Marathon Expo,Synergy Business Events,"R31 740,00",Sole source,Within AA/AO mandate Noting,2022/08/22,Not Stated,Not Stated,Reported
539,Q2 2022/23,New,2022/09/07,South African National Biodiversity Institute (SANBI),Aircon Repairs,ECN,"R6 152,50",Emergency,Within AA/AO mandate Noting,2022/08/25,Not Stated,Not Stated,Reported
540,Q2 2022/23,New,2022/09/07,South African National Biodiversity Institute (SANBI),Membership fees,Cape Town Tourism,"R4 205,88",Sole source,Within AA/AO mandate Noting,2022/08/12,Not Stated,Not Stated,Reported
541,Q2 2022/23,New,2022/09/07,South African National Biodiversity Institute (SANBI),Installation of galvanished lighting,KDM Ludonga Trading,"R75 000,00",Sole source,Within AA/AO mandate Noting,2022/08/30,Not Stated,Not Stated,Reported
542,Q2 2022/23,New,2022/09/07,South African National Biodiversity Institute (SANBI),Roof waterproofing,ARK Waterproofing & Roof,"R32 821,00",Emergency,Within AA/AO mandate Noting,2022/08/30,Not Stated,Not Stated,Reported
543,Q2 2022/23,New,2022/09/15,South African National Biodiversity Institute (SANBI),Speaker tower repairs,Marton Szabo t/a/ Mart Eng,"R2 875,00",Emergency,Within AA/AO mandate Noting,2022/09/05,Once Off,Once Off,Reported
544,Q2 2022/23,New,2022/09/15,South African National Biodiversity Institute (SANBI),Cold room repairs,V & S Verkoeling,"R11 882,75",Emergency,Within AA/AO mandate Noting,2022/09/08,Once Off,Once Off,Reported
545,Q2 2022/23,New,2022/08/19,South African National Parks (SANParks),"Annual aircrew licence renewal flight tests and NVG
Training for 24 Months",Henley Air,"R197 949,50",Single source,Within AA/AO mandate Noting,2022/07/01,2022/07/01,2024/07/01,Reported
546,Q2 2022/23,New,2022/08/19,South African National Parks (SANParks),Membership fees,Greater Cederberg Fire Protection Association,"R36 593,00",Sole Source,Within AA/AO mandate Noting,2022/07/28,Not Stated,Not Stated,Reported
547,Q2 2022/23,New,2022/08/19,South African National Parks (SANParks),"Supply of 2000L diesel for the park's standby
generator to the rest camp",Ticiva Twenty ( Engen Truck Stop),"R51 140,00",Emergency,Within AA/AO mandate Noting,2022/07/13,2022/07/13,Not Stated,Reported
548,Q2 2022/23,New,2022/08/19,South African National Parks (SANParks),"Advertisement of Tsitsikamma Winter Discount
Campaign on Algoa Station",Umoya Communications t/a FM,"R35 154,35",Single source,Within AA/AO mandate Noting,2022/07/18,2022/07/18,Not Stated,Reported
549,Q2 2022/23,New,2022/08/19,South African National Parks (SANParks),Emergency Repair of the Main Camp Generator,Universal Equipment,"R83 346,25",Emergency,Within AA/AO mandate Noting,2022/07/14,2022/07/14,Not Stated,Reported
550,Q2 2022/23,New,2022/08/19,South African National Parks (SANParks),"Appointing Coaching Partners, as a suitable
executive coach for the Managing Executive,
Marketing and Tourism
Development for a period of 12 months starting from
July 2022- June",Change Partners,"R111 550,00",Single source,Within AA/AO mandate Noting,2022/07/08,2022/07/08,Not Stated,Reported
551,Q2 2022/23,New,2022/08/19,South African National Parks (SANParks),"Procurement of Software Maintenance License
Renewal for 12 months.",Axiz,"R472 729,67",Single source,Within AA/AO mandate Noting,2022/07/12,2022/07/12,Not Stated,Reported
552,Q2 2022/23,New,2022/08/26,South African National Parks (SANParks),"Request for approval to deviate in terms of national
treasury instruction no.3 of 2021/2022 to advertise
the chief executive Officer and the managing
executive: Kruger national park positions on the
Sunday Times newspaper",Arena Holding (Pty) Ltd,"R78 214,95",Limited Bidding: Single source,Within AA/AO mandate Noting,2022/08/12,Not Stated,Not Stated,Reported
553,Q2 2022/23,New,2022/08/26,South African National Parks (SANParks),"Request for approval to deviate from Natioanl
Treasury instruction note no 03 of 2017/18 o cost
containment measures in appointing service
providers for the publication of advertisement for the
AENP bush braai facility",Arena Holding (Pty) Ltd,"R48 990,00",Limited Bidding: Single source,Within AA/AO mandate Noting,2022/08/04,Not Stated,Not Stated,Reported
554,Q2 2022/23,New,2022/08/26,South African National Parks (SANParks),"Request for approval to deviate from Natioanl
Treasury instruction note no 03 of 2017/18 o cost
containment measures in appointing service
providers for the publication of advertisement for the
AENP bush braai facility",Arena Holding (Pty) Ltd,"R9 108,00",Limited Bidding: Single source,Within AA/AO mandate Noting,2022/08/04,Not Stated,Not Stated,Reported
555,Q2 2022/23,New,2022/07/06,South African National Space Agency (SANSA),Marhametica Licenses,Blue Stallion,"R11 902,50",Sole Supplier and reseller of Mathametica license in SA,Within AA/AO mandate Noting,2022/04/09,2022/05/01,2023/04/04,Reported
556,Q2 2022/23,New,2022/07/06,South African National Space Agency (SANSA),Parys Airshow,Creative Space Media,"R57 500,00",Sole Provider and orginaiser of the event,Within AA/AO mandate Noting,2022/05/09,2022/05/28,2022/05/28,Reported
557,Q2 2022/23,New,2022/07/06,South African National Space Agency (SANSA),International Flight Inspection Symposium,South African Civil Aviation Authority,"R14 538,32",Sole Supplier and host of the event,Within AA/AO mandate Noting,2022/05/12,2022/06/20,2022/06/24,Reported
558,Q2 2022/23,New,2022/07/06,South African National Space Agency (SANSA),Resreach Equipment - Meteorological Parachute,Inter Met,"R7 521,00",sole supplier for Meteorological Parachutte used for reasearch experiments,Within AA/AO mandate Noting,2022/06/15,2022/06/15,2022/07/30,Reported
559,Q2 2022/23,New,2022/09/05,South African National Space Agency (SANSA),Boomgate repair,Ace Gates and Fence,"R4 920,00",Emergency repairs to boomgate,Within AA/AO mandate Noting,2022/07/01,2022/07/01,2022/07/31,Reported
560,Q2 2022/23,New,2022/09/05,South African National Space Agency (SANSA),Barker Solenoid Power Supply,Yokogawa,"R75 543,55",Yokogawa is the Sole Supplier,Within AA/AO mandate Noting,2022/07/27,2022/07/27,2022/11/30,Reported
561,Q2 2022/23,New,2022/09/05,South African National Space Agency (SANSA),RF Modules for e-Callisto,Conical Technologies,"R14 863,75",Conical Technologies is the Sole Supplier,Within AA/AO mandate Noting,2022/08/05,2022/08/05,2022/11/30,Reported
562,Q2 2022/23,New,2022/09/05,South African National Space Agency (SANSA),DTU Datalogger Replacement,Min Geo,"R6 108,00",Mingeo is the Sole Supplier,Within AA/AO mandate Noting,2022/08/03,2022/08/03,2022/11/30,Reported
563,Q2 2022/23,New,2022/09/05,South African National Space Agency (SANSA),NTRIP Caster License,NTRIP,"R2 770,00",Subcarrier System Corp is the Sole Supplier,Within AA/AO mandate Noting,2022/08/12,2022/08/12,2025/07/12,Reported
564,Q2 2022/23,New,2022/07/11,South African Revenue Services,"Deviation to renew the biometric fingerprint and ID
verification services from Afiswitch (Pty) Ltd. The
deviation is for a period of 6 months from 1 July
2022 to 31 December 2022",Afiswitch (Pty) Ltd,"R179 211,45",Single Source/Business continuity,Within AA/AO,23/06/2022,2022/07/01,2022/12/31,Reported
565,Q2 2022/23,New,2022/07/19,South African Revenue Services,Training : Courtroom Techniques,Law Society of South Africa,"R164 000,00",Impractical ; Law Socity of South Africa is single source provider,Within AA/AO,29/06/2022,30/06/2022,29/06/2025,Reported
566,Q2 2022/23,New,2022/07/20,South African Revenue Services,"Attendance of Knowledge Management virtual e-
imbizo annual conference taking place on 23 -26
August 2022.",Knowldege Management South Africa,"R6 000,00",Sole supplier,Within AA/AO,2022/07/19,23/08/2022,26/08/2022,Reported
567,Q2 2022/23,New,2022/07/20,South African Revenue Services,"the appointment of World Customs Organization
(WCO) to provide SARS with the subscription
services to the WCO Harmonized System Database
to 5 SARS employees within Customs, Legal and
Policy for a period of five (5) year.",World Customs Organization,"R83 900,00",Sole supplier,Within AA/AO,2022/07/19,2022/01/08,31/07/2027,Reported
568,Q2 2022/23,New,2022/07/20,South African Revenue Services,"the appointment of World Customs Organization
(WCO) to provide SARS with the subscription
services to the WCO Harmonized System Database
to 10 SARS employees within Customs Litigation for
a period of five (5) year.",World Customs Organization,"R159 410,00",Sole supplier,Within AA/AO,2022/07/19,2022/01/08,31/07/2027,Reported
569,Q2 2022/23,New,2022/08/06,South African Revenue Services,"Annual subscription of a report on South African
property market for a period of 5 years",Rode & Associates (Pty) Ltd,"R46 862,50",Deviation reason not provided,Within AA/AO,20/06/2022,2022/04/07,30/06/2027,Reported
570,Q2 2022/23,New,2022/08/05,South African Revenue Services,"appointment of three (3) South African Institute of
Chartered Accountants (SAICA) accredited training
providers to offer the Assessment of Professional
Competency (APC) programme to SARS Chartered
Accountants (CA) Trainees for a period of three (3)
years","Accounting Professional Training (Pty) Ltd,
Endunamoo Professional Course (Pty) Ltd and
University of Cape Town College of Accounting","R1 513 325,00",The 3 Training providers are the only training providers accredited by SAICA to offer the course,Within AA/AO,2022/08/05,Not indicated,Not indicated,Reported
571,Q2 2022/23,New,2022/07/30,South African Social Security Agency (SASSA),"Appointment of Capitec Bank Limited by deviating
from the National Treasury
Instruction No 4A of 2016/2017 Central Supplier
Database (CSD).",Capitec Bank Limited,not stated,Preferred bidder,Within AA/AO mandate Noting,2022/06/10,Not indicated,Not indicated,Reported
572,Q2 2022/23,New,2022/08/10,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Noda Foods PTY LTD,"R11 430,00",Preferred bidder,Within AA/AO mandate Noting,2022/08/10,Not indicated,Not indicated,Reported
573,Q2 2022/23,New,2022/08/10,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Msakazana Events Management,"R8 380,00",Preferred bidder,Within AA/AO mandate Noting,2022/08/10,Not indicated,Not indicated,Reported
574,Q2 2022/23,New,2022/08/10,South African Social Security Agency (SASSA),Reloading of Postage,Earlyworx,"R100 000,00",Preferred bidder,Within AA/AO mandate Noting,2022/08/10,Not indicated,Not indicated,Reported
575,Q2 2022/23,New,2022/08/10,South African Social Security Agency (SASSA),Reloading of Postage,Frama,"R100 000,00",Preferred bidder,Within AA/AO mandate Noting,2022/08/10,Not indicated,Not indicated,Reported
576,Q2 2022/23,New,2022/08/10,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets,matrass and
dignity packs",Multipal service providers,"R2 446 900,00",Preferred bidder,Within AA/AO mandate Noting,2022/08/10,Not indicated,Not indicated,Reported
577,Q2 2022/23,New,2022/09/07,South African Social Security Agency (SASSA),"Appointment of Collumbia Falls for the extension of
Pencardia Building lease agreement on a month to
month basis",Collumbia Falls,"R434 834,67",Preferred bidder,Within AA/AO mandate Noting,2022/09/06,Not indicated,Not indicated,Reported
578,Q2 2022/23,New,2022/09/08,South African Tourism,"SA drum performnce at JATA Tourism Expo 2022 in
Tokyo in Sep 22",Drum Café,"R90 375,16",Sole Source,Within AA/AO mandate Noting,2022/07/11,Not Stated,Not Stated,Reported
579,Q2 2022/23,New,2022/09/08,South African Tourism,Imex America 2022 stand build and exhibition space,Reeds Exhibitions,"R5 909 035,19",Sole Source,Within AA/AO mandate Noting,2022/09/07,2022/10/22,2022/10/13,Reported
580,Q2 2022/23,New,2022/09/08,South African Tourism,World Travel Market stand build and exhibition space,Reeds Exhibitions,"R4 820 933,81",Sole Source,Within AA/AO mandate Noting,2022/09/07,2022/11/07,2022/11/09,Reported
581,Q2 2022/23,New,2022/09/08,South African Tourism,SABPP Membership fees,SABPP,"R3 620,00",Single Source,Within AA/AO mandate Noting,2022/09/07,Not Stated,Not Stated,Reported
582,Q2 2022/23,New,2022/09/08,South African Tourism,City DNA summer school in Turintaly,City Destinationa Allia,"R964 581,80",Single Source,Within AA/AO mandate Noting,2022/08/26,2022/08/27,2022/08/31,Reported
583,Q2 2022/23,New,2022/09/08,South African Tourism,"West Africa Roadshow (flight ticket for sponsred
SAPO)",South African Airways,"R1 081 574,11",Single Source,Within AA/AO mandate Noting,2022/08/26,2022/08/27,2022/09/04,Reported
584,Q2 2022/23,New,2022/09/08,South African Tourism,The World Travel & Tourism Council membership,The World Travel & Tourism Council,"R612 970,45",Single Source,Within AA/AO mandate Noting,2022/08/26,2022/09/01,2024/08/31,Reported
585,Q2 2022/23,New,2022/09/15,South African Weather Service,"Procurement of Hogen S20 hydrogen generator
spares",SmartCheck Technology (PTY)LTD,"R1 218 023,02","The current Hogen S20 hydrogen generators in use were procured from NEL Hydrogen/Proton energy
system in the Unitrd States of America.There is no local manufacturer of the spares in SA",Within AA/AO mandate Noting,2022/08/31,Not Stated,Not Stated,Reported
586,Q2 2022/23,New,2022/09/15,South African Weather Service,"Provision of premises and office space for Nelspruit
weather office",Primkop Airport Management,"R3 854 491,92","South African Weather Service (SAWS) currently occupies the premesis and office space at the Kruger
Mpumalanga International Airport (KMIA) which is strategically located for SAWS operations. SAWS have
weather monitoring instruments such as SOLYS, Webcam, Automatic Rainfall Station, Aviation Automatic
Weather Station installed in the KMIA building and the premises next to the runways which require immediate
monitoring and response when there’s system breakdown",Within AA/AO mandate Noting,2022/09/02,Not Stated,2027/03/31,Reported
587,Q2 2022/23,New,2022/09/01,"The South African National Roads Agency SOC Ltd
(SANRAL)",Supply of Oracle Enterprise Software Licences,Oracle Corporation Pty Ltd SA,"R7 231 302,49",Sole Supplier,Noting,2022/08/30,2022/09/01,2023/08/31,Reported
588,Q2 2022/23,New,2022/09/01,"The South African National Roads Agency SOC Ltd
(SANRAL)",Supply of CaseWare Software Licences,CaseWare Africa (Adapt IT Pty Ltd),"R265 517,50",Sole Supplier,Noting,2022/08/30,2022/10/01,2025/09/30,Reported
589,Q2 2022/23,New,2022/07/08,Transnet SOC Ltd,"Response for provision of multifunctional devices
(MFDs)",Business Connexion,"R462 000 000,00",Poor Planning,Noting,2022/07/07,5 years,5 years,Reported
590,Q2 2022/23,New,2022/08/10,Transnet SOC Ltd,"Appointment of a consultant via the single
source confinement process for the
provision of strategic advisory services for a
period of 2 months","Letsema Consulting &
Advisory","R1 994 367,00",Procurement by other means,Noting,2022/08/10,2022/08/01,2022/09/30,Reported
591,Q2 2022/23,New,2022/08/10,Transnet SOC Ltd,"Hire of 2 x mobile toilets for
Witbank depot",Teboliso Trading,"R17 400,00",Procurement by other means,Noting,2022/08/10,2022/08/05,2022/08/13,Reported
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"2022/2023 QUARTER 2
Total number of Deviation received:
591",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,591,,,,,,,,
,,Total number of Deviation reviewed:,,,590,,,,,,,,
"Applications Rollover from Q1
Number of Deviations - Not Finalised as",,,,,0,,,,,,,,
,,,,,"at 15 September
1",,,,,,,,
Pecentage Achieved,,,,,"99,83%",,,,,,,,
"Signature______________________________________________
7 October 2022
#DIV/0!
#DIV/0!",,,,,,,,,,,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
