5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
197,Q1 2023/24,New,2023/04/05,"Inkomati-Usuthu Catchment Management Agency
(IUCMA)","Remote eutrophication monitoring of specific reservoirs in the Inkomati-Usuthu
Catchment Water Management Area for 36 months",Cyanolakes (Pty) Ltd,R1 489 990.14,Sole supplier status,Noting,2023/03/28,2023/04/01,2026/03/31,Reported
198,Q1 2023/24,New,2023/04/26,Magalies Water,Sole Supplier/OEM of Sulzer HPH 3 Stage pumps,Sulzer Pumps SA,R4 163 165.57,Sole Source,Noting,2022/08/17,Not Stated,Not Stated,Reported
199,Q1 2023/24,New,2023/04/26,Magalies Water,Ex Post Facto,Volt Amp Technologies,R203 168.06,Emergency repairs,Noting,2022/09/30,Not Stated,Not Stated,Reported
200,Q1 2023/24,New,2023/04/26,Magalies Water,Ex Post Facto,Mulbert,R63 293.30,Emergency repairs,Noting,2022/09/30,Not Stated,Not Stated,Reported
201,Q1 2023/24,New,2023/04/26,Magalies Water,Ex Post Facto,Volt Amp Technologies,R366 087.30,Emergency repairs,Noting,2022/09/30,Not Stated,Not Stated,Reported
202,Q1 2023/24,New,2023/04/26,Magalies Water,"It is impractical to follow SCM processes because it is stipulated in the SLA that in
case where there is a need for an alternative chemical MW can negotiate with the
service provider to obtai an alternative chemical. Alternative Polymer Deviation. The
previous product had become uneconomical hence MW opted for an alternative
product from the same service providers as per the signed service level agreement.",RheoChem,R6 924 026.00,Alternative Polymer Deviation,Noting,2022/08/17,Not Stated,Not Stated,Reported
203,Q1 2023/24,New,2023/04/26,Magalies Water,"Emergency repairs on specific Sulzer pumbs since they are the sole supplier of
Sulzer pumps",Sulzer Pumps SA,R772 665.74,"Emergency repairs on specific Sulzer pumbs since they are the sole supplier of Sulzer
pumps",Noting,2022/09/16,Not Stated,Not Stated,Reported
204,Q1 2023/24,New,2023/04/26,Magalies Water,"Ex Post , The community did not have water due to technical challenges hence
Magalies water decided to procure water tankers to deliver water at affected areas.",Khetse Trading cc,R146 625.00,"This was an emergency supply of water to affected areas that are serviced by MW .
Water Tankering in areas around Moses Kotane and Rustenburg while Magalies water
is attending to technical breakdowns",Noting,2022/09/30,Not Stated,Not Stated,Reported
205,Q1 2023/24,New,2023/04/26,Magalies Water,"Deviation, The former Sedibeng's security tender was cancelled and the currently
appointed security companies were utilised to avoid damage to property while we
embark on appointing a long term services for the area.","Tlhomphanang and Bamogale Security
Solutions",R17 027 209.74,"It was an emergency because sites could not be abandoned while soliciting a long term
service provider/s. Security Services to Magalies water sites in the far west areas",Noting,2022/10/24,Not Stated,Not Stated,Reported
206,Q1 2023/24,New,2023/04/26,Magalies Water,"Ex Post Facto, This was a strip and quote deviation where the service provider
fetched the pump and took it to their facilities. Pump was fixed and brought back for
installation.",Afric Phadima,R985 561.50,Plant 3 pump no.1 Emergency repairs at Vaalkop plant,Noting,2022/10/30,Not Stated,Not Stated,Reported
207,Q1 2023/24,New,2023/04/26,Magalies Water,"Deviation, The panel of service pproviders has lapsed and the delay in appointing was
due to the incorporation of the former Sedibeng. MW needed Legal services while
procurement process unfold to avoid any unforseeable litigation process that may
arise before a new panel of legal services is appointed.","Mokhetle Attorneys/ Kgomo Attorneys/
Shuping Attorneys",R0.00,"It was an emergency because the panel of service providers has lapsed and MW is
currently soliciting a long term panel of service providers. Legal Services . SCM process
is still unfolding to appoint a panel for a period of 3 years",Noting,2022/10/30,Not Stated,Not Stated,Reported
208,Q1 2023/24,New,2023/04/26,Magalies Water,"Sole souce OEM, for the repairs of Sulzer pump at Vaalkop. Sulzer is a sole provider
for the installed pump",Sulzer Pumps SA,R2 833 413.99,"Emergency repairs on specific Sulzer pumbs since they are the sole supplier of Sulzer
pumps. OEM repairs, on pumbs solely supplied by Sulzer.",Noting,2022/12/07,Not Stated,Not Stated,Reported
209,Q1 2023/24,New,2023/04/26,Magalies Water,"Deviation from a normal procurement process to procure the supply of alternative
chemicals",RheoChem and MetsiChem,R5 688 179.00,"It is impractical to follow SCM processes because it is stipulated in the SLA that in case
where there is a need for an alternative chemical MW can negotiate with the service
provider to obtai an alternative chemical. Alternative Polymer Deviation. The previous
product had become uneconomical hence MW opted for an alternative product from the
same service providers as per the signed service level agreement.",Noting,2022/12/07,Not Stated,Not Stated,Reported
210,Q1 2023/24,New,2023/04/26,Magalies Water,"Deviation from a normal procurement process due to the emergency nature of the
Repairs on 2D pump that had a negative impact on the supply of clean water to the
area of MW operation",Sulzer Pumps SA,R1 387 961.48,"Repairs on 2D pump which had damage to collar bobbin and leaking seal wa an
emegency deviation which was also impractical to follow normal SCM processes.",Noting,2023/02/15,Not Stated,Not Stated,Reported
211,Q1 2023/24,New,2023/04/26,Magalies Water,"Deviation from a normal procurement process to repair the HT Switch Gear which
was affecting the supply of clean water to communities",Five G,R78 775.00,"This was an emergency repair on the switch gear which could not be avoided hence it
could not follow the normal procurement process.",Noting,2023/01/25,Not Stated,Not Stated,Reported
212,Q1 2023/24,New,2023/04/26,Magalies Water,"There was an emergency work that needed to be done on the 2D Pump set and
supernatant power supply at Vaalkop plant to avoid the lack of supply for clean water
to communities",Five G,R123 860.75,"Emergency repair on the 2D Pump set and supernatant power supply which could not
wait for a normal procurement process.",Noting,2023/01/25,Not Stated,Not Stated,Reported
213,Q1 2023/24,New,2023/04/26,Magalies Water,Refurbishment of 6 High Lift pumps,Sulzer Pumps SA,R2 534 302.68,"Sole supplier of pumps ( OEM). To speed up the issue of Operations and maintenance
without affecting Bulk distribution of water to customers",Noting,2023/02/15,Not Stated,Not Stated,Reported
214,Q1 2023/24,New,2023/04/26,Magalies Water,Repairs of 5 motors and one pump damaged due to flooding,MOTOTECH,R1 300 465.18,"This was an emegency which work which could not wait another day. The flooding has
damaged 5 motors and one pump.",Noting,2023/01/25,Not Stated,Not Stated,Reported
215,Q1 2023/24,New,2023/04/05,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",procurement of larvicide (Vectobac) for the control of blackfly outbreaks;,Philagro South Africa,R11 902 500.00,Only one larvicide is registered and that is Vectobac,Noting,2023/03/31,2023/03/31,Not Stated,Reported
216,Q1 2023/24,New,2023/04/05,"Department of Agriculture, Land Reform and Rural
Development (DALRRD)",procurement of insecticides (Falcolan) for the control of quelea birds’ outbreaks,Philagro South Africa,R8 786 000.00,Only one larvicide is registered and that is Falcolan,Noting,2023/03/31,2023/03/31,Not Stated,Reported
217,Q1 2023/24,New,2023/04/24,South African Civil Aviation Authority (SACAA),Caseware software Lisence,Adapt IT,R83 431.00,Sole Source,Noting,2023/04/24,2023/04/24,Not Stated,Reported
218,Q1 2023/24,New,2023/05/02,Cross-Border Road Transport Agency,Printing of Business Cards,Avantage Marketing,R12 250.00,Standardisation of services,Noting,2023/05/02,2023/04/25,Not Stated,Reported
219,Q1 2023/24,New,2023/05/02,Cross-Border Road Transport Agency,Catering services,"Mukondi & Sons Trading
Enterprise",R5 370.00,Omissions in the scope of work,Noting,2023/05/02,2023/04/26,Not Stated,Reported
220,Q1 2023/24,New,2023/05/11,Strategic Fuel Fund (SFF),Caseware training for preparation of Annual Financial Statements,Adapt IT,R30 649.57,"CaseWare Africa a division of Adapt IT Holdings LTD is the only distributor of
CaseWare software products in South Africa. They submitted proof.",Noting,2023/02/06,2023/02/20,2023/02/21,Reported
221,Q1 2023/24,New,2023/05/11,Central Energy Fund SOC Ltd (CEF),Advisory services on directors conduct,Makewa Consulting,R499 896.80,"CEF has issued the RFP twice to the market on different dates to source the service
provider to assist CEF with the required services in order to support PetroSA to win its
financial owes. Upon the closing dates of these issued RFPs none of the bid/proposal
met the minimum technical threshold of 70% of this RFP. The request to appoint the
service provider it is now an emergency as the proceedings of PetroSA are currently
ongoing as such the appointment of the service provider to assist CEF as the holding
company of PetroSA in assessing and advising on the conduct is requested.",Noting,2022/12/14,Not Stated,Not Stated,Reported
222,Q1 2023/24,New,2023/05/12,Department of Health (DoH),Delivery of spectra optia centrifugal aphreseis machine,Viking BCT,R1 717 961.84,Single Source,Noting,2023/04/24,Once-off,Once-off,Reported
223,Q1 2023/24,New,2023/05/04,Road Accident Fund (RAF),Membership Subscription,"Government Communication and
Information System (GCIS)",R2 860.00,"A single source service provider for provision of 44 official photos of which 22 are for
the Deputy President and 22 for Deputy Minister of Transport.",Noting,2023/05/04,N/A,N/A,Reported
224,Q1 2023/24,New,2023/05/04,Road Accident Fund (RAF),SAP Conference,Eventful People,R50 577.00,"A single source service provider for provision of Connecting SAP Conference for HRIS
Officials. The services are crucial for operational efficiency since it will provide
delegates with information, awareness, and key skills required by today's HR
professionals, allowing them to effectively contribute to dynamic enterprises.",Noting,2023/05/04,2023/04/17,2023/04/18,Reported
225,Q1 2023/24,New,2023/05/04,Road Accident Fund (RAF),SAP Conference,Eventful People,R12 644.25,"A single source service provider for provision of Connecting SAP Conference for HRIS
Officials. The services are crucial for operational efficiency since it will provide
delegates with information, awareness, and key skills required by today's HR
professionals, allowing them to effectively contribute to dynamic enterprises.",Noting,2023/05/04,2023/04/17,2023/04/18,Reported
226,Q1 2023/24,New,2023/05/04,Road Accident Fund (RAF),Printing of Annual Report,Msomi Africa Communications,R372 186.00,"A single source services provider for editing, designing, formatting, and printing of the
2021-2022 Annual Report. The previous services provider failed on numerous
occations to meet the extended deadline. The services are critical for the operational
efficiency of the RAF.",Noting,2023/05/04,N/A,N/A,Reported
227,Q1 2023/24,New,2023/05/04,Road Accident Fund (RAF),State Attorney workshop,Travel With Flair(Pty) Ltd,R43 589.73,"An urgent procurement of additional conference packages for four officials who missed
their flight because the workshop ended late, resulting in addition of another day.",Noting,2023/05/04,2023/01/12,2023/01/13,Reported
228,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,University of Venda,R3 000.00,Single Source,Noting,2023/05/03,Once-off,Once-off,Reported
229,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Sefar Filter Pure (Pty) Ltd,R105 000.00,Preferred Supplier,Noting,2023/05/05,Not Stated,Not Stated,Reported
230,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Application Software Ifs South Afri,R452 248.00,Sole Supplier,Noting,2023/05/05,Not Stated,Not Stated,Reported
231,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Microsep,R70 981.00,Sole Supplier,Noting,2023/05/05,Not Stated,Not Stated,Reported
232,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Eriez Magnetics,R49 950.00,Preferred Supplier,Noting,2023/05/05,Not Stated,Not Stated,Reported
233,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Schenck Process Africa,R36 668.00,Preferred Supplier,Noting,2023/05/05,Not Stated,Not Stated,Reported
234,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Metrohm S.A,R32 853.00,Preferred Supplier,Noting,2023/05/05,Not Stated,Not Stated,Reported
235,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Watson-Marlow Bredel S.A (Pty) Ltd,R96 356.00,Preferred Supplier,Noting,2023/05/05,Not Stated,Not Stated,Reported
236,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Schindler Lifts S.A. (Pty) Ltd,R160 891.00,Emergency,Noting,2023/05/05,Not Stated,Not Stated,Reported
237,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Airventfil (Pty) Ltd,R62 081.00,Emergency,Noting,2023/05/05,Not Stated,Not Stated,Reported
238,Q1 2023/24,New,2023/05/03,South African Civil Aviation Authority (SACAA),Career exhibition and information association,Lasec Sa (Pty) Ltd,R94 918.00,Preferred Supplier,Noting,2023/05/05,Not Stated,Not Stated,Reported
