row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
486,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Msakazana Events Management,"R 1 8 880,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
487,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Msakazana Events Management,"R 3 0 310,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
488,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Nyusa Trading,"R 7 240,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
489,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Come Again,"R 8 380,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
490,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Free Fall Trading,"R 2 7 160,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
491,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Isonka Semihlangemihla,"R 4 1 800,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
492,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Agape Company Group,"R 1 4 740,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
493,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Nyusa Trading,"R 1 2 570,00",Procurement by other means,Not stated,Not stated,2022/07/22,,Noting,New
494,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 4 1 690,00",Procurement by other means,Not stated,Not stated,2022/07/27,,Noting,New
495,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 1 1 430,00",Procurement by other means,Not stated,Not stated,2022/07/27,,Noting,New
496,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 8 430,00",Procurement by other means,Not stated,Not stated,2022/07/27,,Noting,New
497,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 1 2 520,00",Procurement by other means,Not stated,Not stated,2022/07/27,,Noting,New
498,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Malumbazo Holdings,"R 2 9 520,00",Procurement by other means,Not stated,Not stated,2022/07/27,,Noting,New
499,Q3 2022/23,2022/10/21,South African Social Security Agency,"Supply and delivery of meals,blankets, matrass and
dignity packs",Imizi Trading,"R 3 0 240,00",Procurement by other means,Not stated,Not stated,2022/07/27,,Noting,New
500,Q3 2022/23,2022/10/21,South African Social Security Agency,Training For Internal Audit for 16 Officials,Leadership academny for gurdaians of governance,"R 1 49 960,00",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
501,Q3 2022/23,2022/10/21,South African Social Security Agency,Training Govtech,Sita Govtech,"R 4 5 000,00",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
502,Q3 2022/23,2022/10/21,South African Social Security Agency,Training Govtech,Sita Govtech,"R 6 0 000,01",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
503,Q3 2022/23,2022/10/21,South African Social Security Agency,Training Govtech,Sita Govtech,"R 7 5 000,01",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
504,Q3 2022/23,2022/10/06,South African Tourism,Aviators Conference & Towers Awards,Aviators Africa,"R 200 000,00",Sole Supplier,2022/10/05,2022/10/20,2022/10/22,,Within AA/AO mandate Noting,New
505,Q3 2022/23,2022/10/06,South African Tourism,Bid Support African games week,K2018485581,"R 380 000,00",Sole Supplier,2022/10/04,2022/11/29,2022/12/03,,Within AA/AO mandate Noting,New
506,Q3 2022/23,2022/10/06,South African Tourism,Bid Support- Location Africa Projects,Locations Africa,"R 382 526,00",Sole Supplier,2022/10/03,2022/10/05,2022/10/05,,Within AA/AO mandate Noting,New
507,Q3 2022/23,2022/10/06,South African Tourism,Celebrity golf shootout partnership,Celebrity Golf Shootout (Pty) Ltd,"R 600 000,00",Single source,2022/10/05,2022/10/14,2022/10/16,,Within AA/AO mandate Noting,New
508,Q3 2022/23,2022/10/06,South African Tourism,Delegate boosting- Net Zero Conference,Converge Business Events,"R 610 000,00",Sole Supplier,2022/10/05,2023/03/28,2023/03/30,,Within AA/AO mandate Noting,New
509,Q3 2022/23,2022/11/25,South African Tourism,Bid Support -EAPASA Regionol Conference,"ENVIRONMENTAL ASSESSMENT
PRACTITIONERS ASSOCIATION OF SOUTH
AFRICA","R 367 000,00",Sole Source,2022/11/08,2022/11/28,2022/11/30,,Within AA/AO mandate Noting,New
510,Q3 2022/23,2022/11/25,South African Tourism,IBTM Participation Exhibition space,Reeds Exhibitions,"R 8 078 880,00",Sole Source,2022/11/16,2022/11/29,2022/12/01,,Within AA/AO mandate Noting,New
511,Q3 2022/23,2022/10/13,South African Weather Service,"Procurement of Vaisala Lightning detection
Networkfor a 3 year level agreement",Vaisala,"R 7 682 580,00","SAWS together with Vaisala identified potential risks in the current network that needs to be address during
the next 3 years for SAWS to continue providing a high standardof Lightning data. SAWS needs to sustain
the current infrastructure in a fuly operational state to meet its obligations under the contract with Eskom
and other commercial partners.If SAWS should fail in providing this service , it could mean cancellation of
contract or penaltiies paid on the contracts and be a direct impact on a loss of revenue in an already difficult
economical state",2022/09/30,2022/10/01,2025/09/30,,Within AA/AO mandate Noting,New
512,Q3 2022/23,2022/12/09,South African Weather Service,Procurement of Solar Radiation Trackers,Campbell Scientific Africa (PTY) Ltd.,"R 1 069 073,38","The Kipp n Zonen equipment and Campbell Scientific logging units, software and related components can
only be procured from Campbell Scientific
Africa (CSA) which is the exclusive and only authorized distributor of both Campbell Scientific and Kipp n
Zonen solar and atmospheric science
products, accessories and spare parts in South Africa. There is no other company in South Africa that sells
this type of equipment required for the",2022/11/30,Once Off,Once Off,,Within AA/AO mandate Noting,New
513,Q3 2022/23,2022/12/09,South African Weather Service,Procurement of Picarro G2201-i isotope analyzer,Elemental Analytics PTY (Ltd,"R 3 093 649,50","The Picarro manufacturing plant is situated in California, USA and they have appointed a local company,
Elemental Analytics PTY (Ltd), as their
distribution and servicing agency in South Africa as well as greater African region since 2014. They
(Picarro) have extensively trained the Elemental
Analytics PTY (Ltd) service personnel to be able to sell, service and repair their equipment, which negates
the expensive and laborious option of",2022/11/30,Once Off,Once Off,,Within AA/AO mandate Noting,New
514,Q3 2022/23,2022/12/09,South African Weather Service,"Payment of the World Meteorological Organisation
(WMO) annual membership",World Meteorological Organisation (WMO,"R 3 310 710,00","the WMO according to the scales of assessments determined by the Congress.In reference to Article 31 of
the WMO Convention, it is stated that if any Member fails to meet its financial obligations to the
Organisation or otherwise fails in its obligations under
the present Convention; the Congress may, by resolution, suspend the Member from exercising its rights
and enjoying privileges as a Member of the
Organization, until it has met such financial obligations.",2022/11/10,Once Off,Once Off,,Within AA/AO mandate Noting,New
515,Q3 2022/23,2022/12/09,South African Weather Service,"Procurement of a Tekran 2537 X (Instrument),
Zero Air Generator 1100 Unit, Gold Tubes and
Tekran X UV Lamps",C&M Consulting Engineers,"R 1 485 478,50","With the extra funds that are now available (as per DFFE letter to CEO) and the way in which SAMNet has
expanded, we want to place a Tekran
2537 X permanently on-board the SA Agulhas II Research Vessel. Mercury measurements in the South
Ocean has only been done once during a
cruise in 2011 by Costa et al., on-board the Australian ice breaker. Having the Tekran on-board the SA
Agulhas will have several benefits as with its",2022/11/05,Once Off,Once Off,,Within AA/AO mandate Noting,New
516,Q3 2022/23,2022/11/14,State Information Technology Agency,"Acquire service from Alexander Forbes Financial
Services for pension fund evaluation reports",Alexander Forbes Financial Services (Pty) Ltd,"R 9 7 750,00","SITA is unable to retrieve the financial costing on gab liabilities of members pension funds the organization
has to go through GEPF. Thus, GEPF has always requested such services to be conducted by their
actuaries which is Alexander Forbes Financial Services.",2022/09/30,Not stated,Not stated,,Within AA/AO,New
517,Q3 2022/23,2022/11/14,State Information Technology Agency,"Business continuity emergency procurement for a
period of three (3) months on a month to month
basis up to six (6) months for employee wellness
services to SITA employees",Life Employee Health Solution (Pty) Ltd,"R 2 96 675,04",Business continuity for employee wellnes services. The open procurement process was cancelled.,2022/05/30,2022/06/01,2022/08/31,,Within AA/AO,New
518,Q3 2022/23,2022/11/14,State Information Technology Agency,"Emergency procurement to replace all four tyres,
wheel alignment & balancing for the SITA owned
vehicle BMW X3, registration number JV94FHGP",Family Inderjeeth Investment,"R 3 0 059,85",Tyres need to be replaced to enable the Acting MD to conduct SITA business.,2022/09/14,Not stated,Not stated,,Within AA/AO,New
519,Q3 2022/23,2022/11/14,State Information Technology Agency,"Emergency procurement to unblock sewerage pipes
at the testing lab Apollo Erasmuskloof and jetting of
the whole sewerage system",Yatshama IT and Stationery,"R 6 9 460,00",Unblocking of sewerage pipes,2022/04/29,2022/04/29,2022/05/07,,Within AA/AO,New
520,Q3 2022/23,2022/11/14,State Information Technology Agency,"Establishment of an operating lease agreement for
SITA East London switching centre for a period of
one (1) year.",Orynx Investments (Pty) Ltd,"R 2 25 975,00","The lease agreement assures the continuation of business connectivity for customer departments together
with SITA internal staff members on site with no interruptions. The move to other premises will have a
negative financial implication, resulting in service interruptions.",2022/07/21,2022/08/01,2023/07/31,,Within AA/AO,New
521,Q3 2022/23,2022/11/15,State Information Technology Agency,"REQUEST FOR A SINGLE SOURCE
APPOINTMENT OF TELKOM FOR ALL EXISTING
TELKOM LINES CONNECTING VARIOUS
GOVERNMENT DEPARTMENTS
(R504,301,878.94) FOR 18 MONTHS PERIOD",Telkom SA SOC Ltd,"R 5 04 301 878,94","Due to the time that has taken to perform internal these processes, it also took time for Telkom to provide
comprehensive proposal due to many sites they needed to visit to finalise their service offerings",2022/11/14,Not stated,Not stated,,Within AA/AO,Ratification
522,Q3 2022/23,2022/11/14,State Information Technology Agency,"Request for Absol’s Proprietary Software License
for Maintenance and Support from ABSOL for a
Period of Six (6) Months",Absol lnternet Business Solutions,"R 3 6 570,00",Sole source procurement,2022/08/30,2022/08/01,2022/01/31,,Within AA/AO,New
523,Q3 2022/23,2022/11/14,State Information Technology Agency,"Request for approval of month to month employee
wellness services to SITA employees",Life Employee Health Solution (Pty) Ltd,"R 2 96 675,04",Business continuity for employee wellnes services. The open procurement process was cancelled.,2022/03/03,2022/03/03,2022/05/31,,Within AA/AO,New
524,Q3 2022/23,2022/11/14,State Information Technology Agency,"Request for ASG-smart test software licence,
support and maintenance agreement for blenny
data centre for a period of three years.",DJT Group (Pty) Ltd t/a ASG Africa,"R 1 859 658,35",Sole source procurement,2022/08/26,2022/11/01,2025/12/31,,Within AA/AO,New
525,Q3 2022/23,2022/11/14,State Information Technology Agency,"Request for single source procurement of Sita
Polokwane office accommodation and switching
centre for a period of three (3) years",East and West Investments (Pty) Ltd,"R 7 018 405,38",Two previous open bid process were cancelled. (pre-approval was granted by NT ON 31 03 2022),2022/09/22,2022/10/01,2025/09/30,,Within AA/AO,New
526,Q3 2022/23,2022/10/27,Statistics South Africa,SAS Training,SAS Institute,"R 1 373 570,00",Sole Provider,2022/10/06,2022/10/06,2023/03/31,,Within AA/AO,New
527,Q3 2022/23,2022/11/23,"The South African National Roads Agency SOC Ltd
(SANRAL)","The current state of the R61 Sections 9 and 10 is
currently in severe state of distress. Numerous
failures have been observed in the form of potholes
which require more than 700 tons of asphalt to
repair. Base and surface failures which require",Rainbow Civils,"R 3 7 122 940,13",Emergency,2022/11/22,2022/12/01,30/8/2023,,Noting,New
528,Q3 2022/23,2022/11/23,"The South African National Roads Agency SOC Ltd
(SANRAL)","T. The current state of the R411 Section 1 is in
severe state of distress. Numerous failures have
been observed in the form of severe potholes which
require more than 700 tons of asphalt to repair.",Rainbow Civils,"R 6 8 600 863,00",Emergency,2022/11/22,2022/12/01,30/11/2023,,Noting,New
529,Q3 2022/23,2022/11/23,"The South African National Roads Agency SOC Ltd
(SANRAL)","The current state of this R58 Section is currently in
severe state of distress. Numerous failures have
been observed in the form of potholes, base and
surface failures which requires emergency/urgent
patching.",Rainbow Civils,"R 1 5 487 763,00",Emergency,2022/11/22,2022/12/01,30/12/2023,,Noting,New
530,Q3 2022/23,2022/11/03,Trans-Caledon Tunnel Authority (TCTA),Provision of ACCPAC Licenses and Support,Acctech Systems,"R 442 943,43","Continuity in utilisation of Accpac Syustems for Accounts Payable and support while the awaiting the
conclusion of procurement process for the ERP system",2022/10/31,Not Stated,Not stated,,Noting,New
531,Q3 2022/23,2022/09/26,"Wholesale and Retail Sector Education and
Training Authority (W&RSETA)SETA",Attendance of CCMA hearing,Ubuntu Business Advisory and Consultancy,"R 25 992,02",Sole Supplier,2022/09/05,2022/09/07,2022/09/07,,Noting,New
