3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
435,Q1 2024/25,2024/06/10,"South African Broadcasting Corporation SOC Limited
(SABC)",The provision of Call Centre Solution,Gijima Holdings (Pty) Ltd,Provision of temporary call centre solution,"R375 806,22","R53 962 376,45",R-,2024/04/08,2022/01/01,2026/12/31,Reported
436,Q1 2024/25,2024/06/10,"South African Broadcasting Corporation SOC Limited
(SABC)",Commission Structure,Hahn Collections (Pty) Ltd,Variation of rates,"R88 126 123,54","R85 501 043,40",R-,2024/05/30,2020/02/11,2024/08/31,Reported
437,Q1 2024/25,2024/06/10,"South African Broadcasting Corporation SOC Limited
(SABC)","Development of the SABC news elections website and
enhancement of mobile application",Joren Communications,Enhancement of mobile application,"R120 000,00","R783 783,00",R-,2024/05/30,2024/05/31,2024/06/27,Reported
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2024/2025 QUARTER 1,,,,,,,,,,,,,
Total number of Expansions received:,,437,,,,,,,,,,,
Total number of Expansions reported:,,437,,,,,,,,,,,
Total number of Expansions closed:,,0,,,,,,,,,,,
Percentage Achieved,,100%,,,,,,,,,,,
