Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
504,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Langley's Catering,"R 13 650,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
505,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Van Neel Projects,"R 13 650,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
506,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Van Neel Projects,"R 31 750,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
507,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Van Neel Projects,"R 24 985,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
508,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Van Neel Projects,"R 35 015,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
509,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Luchwayito And Zama,"R 57 715,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
510,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Luchwayito And Zama,"R 138 395,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/01/25,Once-off,Once-off,Reported
511,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Luchwayito And Zama,"R 15 905,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
512,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Luchwayito And Zama,"R 9 080,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
513,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 4 540,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
514,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Nade Holding,"R 9 080,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
515,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Word sister Primary,"R 67 655,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
516,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divine Charm,"R 57 685,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
517,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 9 110,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
518,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 20 415,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
519,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 38 250,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
520,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Uqobo Holding,"R 144 655,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
521,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 36 350,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/07,Once-off,Once-off,Reported
522,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Imizi Trading,"R 45 550,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
523,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 22 730,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
524,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Sibotembi,"R 105 170,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
525,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Sqalo Holdings,"R 22 670,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
526,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Sulani Transport,"R 25 935,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
527,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 6 795,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
528,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 25 075,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
529,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 18 160,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
530,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mbesie Catering,"R 13 650,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/12,Once-off,Once-off,Reported
531,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Isonka Semihla Ngemihla,"R 106 795,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/15,Once-off,Once-off,Reported
532,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Malumbazo Holdings,"R 98 220,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/15,Once-off,Once-off,Reported
533,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Masiqhame Trading 626,"R 108 340,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/15,Once-off,Once-off,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
534,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divana Distributors,"R 100 475,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/15,Once-off,Once-off,Reported
535,Q4 2023/24,2024/02/26,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Divana Distributors,"R 109 645,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/15,Once-off,Once-off,Reported
536,Q4 2023/24,2024/02/24,,Public Protector South Africa,Static Security Service,Prime African Security,"R 208 428,02",Emergency procurement due safety measures,2024/02/05,2024/02/05,2024/02/18,Reported
537,Q4 2023/24,2024/02/28,,Special Investigating Unit (SIU),Membership renewal,South Africa payroll assosciation,"R 1 395,00","Single Source, Membership",2024/02/26,2024/03/01,2025/02/28,Reported
538,Q4 2023/24,2024/02/28,,Special Investigating Unit (SIU),Ethics Officer Certificate Program Training,The ethics institute,"R 38 107,00","Single Source,Training",2024/02/26,Once-off,Once-off,Reported
