row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
294,Q3 2023/24,2023/09/29,"Government Communication and Information
System (GCIS)",Dept Forestry: Public Notices and Gazettes (Protected areas Act),"Arena Holdings, Media24 and Vuk'uzenzele","R 73 956,60",The medium selected will best meet the intended largest audience,2023/09/27,2023/09/28,2023/09/30,,
295,Q3 2023/24,2023/09/29,"Government Communication and Information
System (GCIS)",Dept Forestry:Public Notices and Gazettes (Renewal Energy Dev Zones)Dept Forestry:,"Arena Holdings, Media24 and Vuk'uzenzele","R 55 467,44",The medium selected will best meet the intended largest audience,2023/0927,2023/09/28,2023/09/30,,
296,Q3 2023/24,2023/09/29,"Government Communication and Information
System (GCIS)",Variation of Scope on the DAC System Contract (RFB 2505-2021),DAC System,"R 171 925,00","Variation of Scope on the DAC System Contract (RFB 2505-2021) to procure
addidtional hours for DAC System for additional charges on the redevelopment of
eRedevelopment of eRequistion and eLeave support and maintenace.",2023/09/16,2023/09/18,2023/09/18,,
297,Q3 2023/24,2023/09/29,"Government Communication and Information
System (GCIS)",Procurement of 2 Franking machine ink tanks,Batsumi Enterprise Solutions,"R 8 510,00",it is essential that requirements are obtained from one source of supply.,2023/09/22,2023/09/26,2023/09/26,,
298,Q3 2023/24,2023/10/26,"Government Communications and Information
System",Public Notice and Gazzette(Environment Asessment Practitioners),Arena Holdings and Vukuzenzele,"R 54 721,00",The medium selected will best meet the intended largest audience,2023/10/17,2023/10/20,2023/10/20,,
299,Q3 2023/24,2023/09/26,Government Printing Works (GPW),Ink:SUV 2087 UV SC Z579 LT Green,SICPA,"R 217 596,10",Sole Supplier as per the attached submission approved by the CEO,2023/08/30,Once-off payment,Once-off payment,,
300,Q3 2023/24,2023/09/26,Government Printing Works (GPW),CMC: Wzx Ribbons ZE500 104x600m,Ptney Bowes Batsumi Enterprises,"R 41 572,50",Sole Supplier as per the attached submission approved by the CEO,2023/08/30,Once-off payment,Once-off payment,,
301,Q3 2023/24,2023/09/26,Government Printing Works (GPW),SEC464 offset pms 5753u Namibiam Green,SICPA,"R 6 673,34",Sole Supplier as per the attached submission approved by the CEO,2023/09/01,Once-off payment,Once-off payment,,
302,Q3 2023/24,2023/09/26,Government Printing Works (GPW),537364-001Flange Guide,Altron Fintech,"R 21 695,12",Sole Supplier as per the attached submission approved by the CEO,2023/09/06,Once-off payment,Once-off payment,,
303,Q3 2023/24,2023/09/26,Government Printing Works (GPW),Idler Roller KPL RFH PN:ZD.224-177-BG-01,Heidelberg Graphic Systems,"R 55 935,20",Sole Supplier as per the attached submission approved by the CEO,2023/09/06,Once-off payment,Once-off payment,,
304,Q3 2023/24,2023/09/26,Government Printing Works (GPW),Trichlorethyelene,Y and R Print,"R 258 750,00",Sole Supplier as per the attached submission approved by the CEO,2023/09/11,Once-off payment,Once-off payment,,
305,Q3 2023/24,2023/09/26,Government Printing Works (GPW),Ink:SUV 2205 UV Warm Red,SICPA,"R 12 032,80",Sole Supplier as per the attached submission approved by the CEO,2023/09/11,Once-off payment,Once-off payment,,
306,Q3 2023/24,2023/09/26,Government Printing Works (GPW),Bolero m/c: Technomelt GA3980 glue,Thunderbolt Solutions,"R 41 975,00",Sole Supplier as per the attached submission approved by the CEO,2023/09/11,Once-off payment,Once-off payment,,
307,Q3 2023/24,2023/09/26,Government Printing Works (GPW),Printy Self-Inker 70x30mm (P/N 4928RD),Rubber Stamp & Engraving,"R 60 547,50",Sole Supplier as per the attached submission approved by the CEO,2023/09/11,Once-off payment,Once-off payment,,
308,Q3 2023/24,2023/09/26,Government Printing Works (GPW),"MX1-610357 Service Kit MX2-
61282 Service Kit MX3-",Altron Fintech,"R 16 389 534,42",Sole Supplier as per the attached submission approved by the CEO,2023/09/13,Once-off payment,Once-off payment,,
309,Q3 2023/24,2023/09/26,Government Printing Works (GPW),White Banker Window Envelopes,Merpark Envelopes,"R 248 400,00",Sole Supplier as per the attached submission approved by the CEO,2023/09/13,Once-off payment,Once-off payment,,
310,Q3 2023/24,2023/09/26,Government Printing Works (GPW),Litho Filter,Heidelberg Graphic Systems,"R 3 245,99",Sole Supplier as per the attached submission approved by the CEO,2023/09/13,Once-off payment,Once-off payment,,
311,Q3 2023/24,2023/09/26,Government Printing Works (GPW),Bart Rejuvenating Wash-Strong,Thunderbolt,"R 27 600,00",,2023/09/14,Once-off payment,Once-off payment,,
312,Q3 2023/24,2023/10/13,Government Technical Advisory Centre (GTAC),LinkedIn Job Slot license for Jobs Fund.,"Ayanda Mbanga Communications Pty (Ltd) (South African
Company Representative for LinkedIn Talent Solutions)","R 38 000,00","LinkedIn provides for world’s leading professional cloud and the world’s leading
professional network to deliver more productive, connected and intelligent
experiences for its customers. LinkedIn Talent Solutions provided the Jobs Fund with
a letter stating that it is the sole supplier of the licenses to their system. LinkedIn has
provided sole source verification and patents on its products, rendering usage by
external parties unlawful without express agreement with source owner.",2023/09/27,2023/09/27,2024/09/26,,
313,Q3 2023/24,2023/12/11,Government Technical Advisory Centre (GTAC),The procurement of a Short Point license for GTAC intranet and internet,Exponant Pty Ltd,"R 72 956,00","Procurement has received a single source letter to confirm that Exponant Pty Ltd,
with its registered office at Building 32, Oxford Office Park, 3 Bauhinia Drive,
Highveld, Centurion, Gauteng, 0157, is the sole partner in South Africa for ShortPoint
Inc., with its registered office at 1327 Jones Drive, Suite 107A, Ann Arbor, MI 48105,
USA, and its products",2023/11/23,2023/12/23,2023/11/30,,
314,Q3 2023/24,2023/12/11,Government Technical Advisory Centre (GTAC),Renewal of Caseware System for AFS reporting,Adapt IT,"R 107 650,70","Adapt IT has sent GTAC the sole supplier letter to confirm that CaseWare
International Inc. is a privately held software development company with its offices in
Toronto, Canada. CaseWare is the manufacturer/producer, seller, and maintenance
provider for all CaseWare products. This confirm that CaseWare Africa, a division of
Adapt IT (Pty) Ltd, is the sole source distributor of CaseWare Software license
subscriptions, upgrades, support, and maintenance in South Africa-.",2023/10/24,2023/12/01,2024/11/30,,
315,Q3 2023/24,2023/09/18,Government Technical Advisory Centre (GTAC),Public Economic Conference Conference,Sizzling Catering and Events Management,"R 99 877,50","The second bidder was appointed due to several factors such as reputation for
serving high level conference, references were requested. The lowest bidder was
used previous for a small meeting and the food was of very poor quality, and several
complaints were received.",2023/09/05,2023/09/06,2023/09/07,,
316,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Training of Accounting Authority members,The Institute of Directors South Africa,"R 417 662,00","The Accounting Authoritiy and Executives are members of the IODSA and therefore
offered discounted rates. The training offered by IODSA is relevant and specific to
the Directors.",2023/02/02,2023/10/03,2023/10/03,,
317,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",International conference on Skills for a Just Transition,Wits Commercial Enterprise,"R 15 000,00","The conference will provide exposure to the researchers and research management
on local and international research and will enrich them with the current research on
skills formation and industry transformation which is critical for sector skills planning
and scoping the external environment for strategic planning",2023/09/05,2023/11/05,2023/12/05,,
318,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Service provider for the SDWAN and dual link setup with the new fortigate firewalls,Kinetics Connect,"R 277 612,59","Appointing a different service provider could lead to complications as they are not
familiar with the current setup.In addition , could lead to incorrect configurations
being implemented which could impact the performance , stability and security of the
SDWAN network nationally. The service provider is the original service provider who
installed the firewall and familiar with the configuration of the HWSETA network and
hardware. Further more warranty issues may be affected if a different service
provider works on the system.",2023/05/22,2023/05/22,2023/05/22,,
319,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Training on preparing witness and evidence,SA Legal Academy,"R 550,00",This is a specific unique online training hence the one quotation out of five.,2023/05/15,2023/05/18,2023/05/18,,
320,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Placement of an advert on the South African Council of Social Services Professions (SACSSP) website,SACSSP,"R 16 800,00","The SACSSP has a database of registered social work, child and youth care
professionals and other interested parties visiting their website and it would be in the
interest of the HWSETA to place an advertisement on their website to obtain possible
applications from a sufficient number of qualified community of qualified community
of expect professionals that constantly visit their website.",2023/05/31,2023/06/22,2023/06/22,,
321,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Exhibition stand at 3rd African nursing conference on the 25 to 26 July 2023,3rd African Nursing Conference,"R 10 000,00","These events, exhibitions and conferences present the HWSETA with an opportunity
to network, enhance communication efforts and showcase the HWSETA offering.The
said space(s) for participation can only be sourced from the organisation that is
hosting the event, exhibition or conference.",2023/04/20,2023/07/25,2023/07/26,,
322,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",ESET Protect Essential on Premium and ESET End Point Protection Standard.,Aves Cyber Security,"R 149 500,00",Out of six request for quotations only Aves Cyber Security submitted the quotation.,2023/07/06,2023/12/06,2023/12/06,,
323,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Car hire upgrade from group B to Group I to use in rural career guidance event on 21 July 2023,Atlantis Travel,"R 12 378,02","Colesberg is a remote area with poor quality of roads, potholes and poorly
maintained infrastructure.If a normal vehicle is used, they may become stuck on the
roaside without any safety or security.",2023/06/19,2023/07/21,2023/07/21,,
324,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Senior Aruba network engineer,First Technology,"R 27 255,00","The market has been tested and the non-responsiveness of the service providers is
beyond the HWSETA's control",2023/06/28,2023/07/03,2023/07/03,,
325,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Directors and Officers Liability insurance for the HWSETA,AC and E PI & Liability Underwriting Managers,"R 105 030,00","Only two quotations were received. It has always been difficult to source a lot of
quotations for the directors and officers liability insurance because the market is not
keen on providing cover for public sector entities",2023/07/05,2023/01/07,2024/07/30,,
326,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Appointment of the second highest point scorer for ambulance services for HWSETA career guidance exhibition,Mubveledzabonolanga,"R 44 000,00","One of the HWSETA specific goals for procurement purposes is awarding contracts
to people with disabilities. The HWSETA has not been successful in getting service
providers who meet the category. During the scoring of the service, it was identified
that Mubveledzabonolanga has a 100% ownership of persons with disabilities.
However, they have come second in the overall scores calculated. According to the
HWSETA Supply Chain Policy a contract may be awarded to the bid that did not
score the highest points provided the grounds for doing so are reasonable and
justifiable.",2023/07/18,2023/07/21,2023/07/21,,
327,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Procurement of Flowers and fruit baskets,Queen Street Flowers,"R 2 356,75",They are the two providers that have a foot print in most provinces.,2023/08/16,2023/08/16,2024/03/31,,
328,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Procurement of Flowers and fruit baskets,Net Florist,"R 17 918,13",They are the two providers that have a foot print in most provinces.,2023/08/16,2023/08/16,2024/03/31,,
329,Q3 2023/24,2023/11/01,"Health and Welfare Sector Education and
Training Authority (HWSETA)SETA",Renewal of the SurveyMonkey Advantage Annual Software licence,SurveyMonkey,"R 5 760,00","The use of SurveyMonkey presents a unique advantage to using the platform in
terms of organizational memory and acting as the data management system of the
surveys.",2023/09/14,2023/09/27,2023/09/28,,
